Project_ID,Project_Name,Project_Type,State,Contractor,Consultant,Year_Start,Budget_NGN,Actual_Cost_NGN,Cost_Overrun_NGN,Planned_Duration_Months,Actual_Duration_Months,Schedule_Delay_Months,Pct_Complete,Primary_Delay_Reason,Status
PRJ-001,Lagos Bridge Phase 1,Bridge,Lagos,Pioneer Builders Ltd,Mott McDonald,2020,322099000.00,325802000.00,3703000.00,46,49,3,84,Poor site supervision,Ongoing
PRJ-002,Kano Bridge Phase 2,Bridge,Kano,Apex Infra Ltd,Scott Wilson,2023,101745000.00,108796000.00,7051000.00,46,60,14,87,Permit issues,Ongoing
PRJ-003,Rivers Road Construction Phase 2,Road Construction,Rivers,Grandeur Works,Julius Berger Consult,2021,353185000.00,538370000.00,185185000.00,33,35,2,78,Material price escalation,Ongoing
PRJ-004, Edo School Block Phase 2,School Block, Edo,Pioneer Builders Ltd,AECOM Nigeria,2022,1095645000.00,1680576000.00,584931000.00,36,38,2,67,Permit issues,Ongoing
PRJ-005,Kano Erosion Control Phase 2,Erosion Control,Kano,BuildRight Nig Ltd,AECOM Nigeria,2020,1557483000.00,2400288000.00,842805000.00,26,42,16,78,Design changes,Ongoing
PRJ-006,Rivers School Block Phase 3,School Block,Rivers,Nile Construction,Julius Berger Consult,2020,1356842000.00,1860355000.00,503513000.00,16,23,7,51,Labour dispute,Ongoing
PRJ-007,Rivers Housing Estate Phase 1,Housing Estate,Rivers,Greenfield Eng Ltd,CCECC Consult,2021,1979571000.00,2640747000.00,661176000.00,47,54,7,71,Poor site supervision,Ongoing
PRJ-008,Enugu Road Construction Phase 3,Road Construction,Enugu,Grandeur Works,Julius Berger Consult,2019,461417000.00,699391000.00,237974000.00,32,37,5,93,Community protest,Ongoing
PRJ-009,Rivers Culvert Phase 1,Culvert,Rivers,Pioneer Builders Ltd,Mott McDonald,2020,1502729000.00,1913555000.00,410826000.00,39,64,25,81,Funding delay,Ongoing
PRJ-010,Anambra Drainage System Phase 1,Drainage System,Anambra,Greenfield Eng Ltd,AECOM Nigeria,2019,1729151000.00,1801265000.00,72114000.00,22,34,12,84,Permit issues,Ongoing
PRJ-011,Delta Hospital Phase 2,Hospital,Delta,Mainland Const. Co.,CCECC Consult,2023,540258000.00,692576000.00,152318000.00,12,18,6,44,Labour dispute,Delayed
PRJ-012,Abuja School Block Phase 1,School Block,Abuja,Pioneer Builders Ltd,CCECC Consult,2020,934761000.00,1422977000.00,488216000.00,28,47,19,52,Labour dispute,Ongoing
PRJ-013,Anambra Water Treatment Plant Phase 1,Water Treatment Plant,Anambra,Mainland Const. Co.,Mott McDonald,2020,779132000.00,815696000.00,36564000.00,45,74,29,71,Equipment breakdown,Ongoing
PRJ-014,Enugu Bridge Phase 3,Bridge,Enugu,Pioneer Builders Ltd,Mott McDonald,2019,519700000.00,670628000.00,150928000.00,17,18,1,92,Material price escalation,Ongoing
PRJ-015,Rivers Drainage System Phase 3,Drainage System,Rivers,Greenfield Eng Ltd,Scott Wilson,2020,566860000.00,835245000.00,268385000.00,39,65,26,99,Adverse weather,Ongoing
PRJ-016,Delta Water Treatment Plant Phase 3,Water Treatment Plant,Delta,Nile Construction,CCECC Consult,2023,930398000.00,1022269000.00,91871000.00,16,20,4,100,Adverse weather,Completed
PRJ-017,Lagos Housing Estate Phase 3,Housing Estate,Lagos,BuildRight Nig Ltd,AECOM Nigeria,2020,181431000.00,175779000.00,-5652000.00,33,35,2,60,Design changes,Ongoing
PRJ-018,Kano Culvert Phase 1,Culvert,Kano,Horizon Builders,Mott McDonald,2023,1173613000.00,1286043000.00,112430000.00,42,66,24,54,Material price escalation,Ongoing
PRJ-019,Enugu Hospital Phase 1,Hospital,Enugu,Grandeur Works,CCECC Consult,2022,1734482000.00,1704133000.00,-30349000.00,18,19,1,73,Material price escalation,Ongoing
PRJ-020,Kano Housing Estate Phase 3,Housing Estate,Kano,Horizon Builders,CCECC Consult,2020,872669000.00,974882000.00,102213000.00,27,44,17,39,Equipment breakdown,Delayed
PRJ-021,Lagos Bridge Phase 2,Bridge,Lagos,Horizon Builders,AECOM Nigeria,2019,1856416000.00,2708915000.00,852499000.00,22,28,6,91,Adverse weather,Ongoing
PRJ-022,Rivers Road Construction Phase 1,Road Construction,Rivers,Grandeur Works,AECOM Nigeria,2022,567146000.00,805598000.00,238452000.00,41,49,8,92,Contractor default,Ongoing
PRJ-023,Kano Water Treatment Plant Phase 1,Water Treatment Plant,Kano,Tetrazzini & Sons Ltd,Scott Wilson,2023,168867000.00,192198000.00,23331000.00,15,21,6,94,Labour dispute,Ongoing
PRJ-024,Anambra Road Construction Phase 3,Road Construction,Anambra,BuildRight Nig Ltd,Mott McDonald,2019,1210318000.00,1640135000.00,429817000.00,27,35,8,61,Permit issues,Ongoing
PRJ-025, Edo Road Construction Phase 2,Road Construction, Edo,BuildRight Nig Ltd,CCECC Consult,2023,1152193000.00,1313295000.00,161102000.00,28,32,4,70,Adverse weather,Ongoing
PRJ-026,Rivers Hospital Phase 3,Hospital,Rivers,Pioneer Builders Ltd,CCECC Consult,2021,1861586000.00,2813677000.00,952091000.00,12,16,4,42,Material price escalation,Delayed
PRJ-027,Anambra Housing Estate Phase 3,Housing Estate,Anambra,Pioneer Builders Ltd,Mott McDonald,2021,1767685000.00,2611864000.00,844179000.00,35,42,7,86,Labour dispute,Ongoing
PRJ-028, Edo Water Treatment Plant Phase 1,Water Treatment Plant, Edo,Horizon Builders,AECOM Nigeria,2023,633789000.00,854369000.00,220580000.00,20,24,4,43,Labour dispute,Delayed
PRJ-029,Oyo Water Treatment Plant Phase 1,Water Treatment Plant,Oyo,Mainland Const. Co.,Mott McDonald,2021,447015000.00,594773000.00,147758000.00,28,38,10,62,Poor site supervision,Ongoing
PRJ-030,Oyo Hospital Phase 3,Hospital,Oyo,Tetrazzini & Sons Ltd,AECOM Nigeria,2021,1553682000.00,2069921000.00,516239000.00,28,31,3,86,Labour dispute,Ongoing
PRJ-031,Anambra Hospital Phase 3,Hospital,Anambra,Tetrazzini & Sons Ltd,AECOM Nigeria,2019,1892849000.00,2583004000.00,690155000.00,21,29,8,77,Permit issues,Ongoing
PRJ-032,Delta Drainage System Phase 3,Drainage System,Delta,Fedex Const. Co.,AECOM Nigeria,2021,761070000.00,1149104000.00,388034000.00,14,23,9,56,Adverse weather,Ongoing
PRJ-033,Enugu Bridge Phase 1,Bridge,Enugu,Horizon Builders,CCECC Consult,2023,1511481000.00,2275472000.00,763991000.00,27,43,16,52,Community protest,Ongoing
PRJ-034,Enugu Drainage System Phase 1,Drainage System,Enugu,Grandeur Works,Mott McDonald,2021,360436000.00,494074000.00,133638000.00,36,58,22,90,Adverse weather,Ongoing
PRJ-035,Enugu Culvert Phase 2,Culvert,Enugu,Pioneer Builders Ltd,Mott McDonald,2020,96146000.00,102480000.00,6334000.00,33,39,6,38,Design changes,Delayed
PRJ-036,Delta Retaining Wall Phase 1,Retaining Wall,Delta,Horizon Builders,Julius Berger Consult,2019,274916000.00,421237000.00,146321000.00,23,32,9,63,Poor site supervision,Ongoing
PRJ-037,Delta Erosion Control Phase 1,Erosion Control,Delta,Nile Construction,Julius Berger Consult,2022,1232107000.00,1548578000.00,316471000.00,36,59,23,54,Design changes,Ongoing
PRJ-038,Lagos Hospital Phase 3,Hospital,Lagos,Horizon Builders,Scott Wilson,2020,760232000.00,754138000.00,-6094000.00,33,47,14,45,Design changes,Delayed
PRJ-039,Delta Water Treatment Plant Phase 3,Water Treatment Plant,Delta,Nile Construction,CCECC Consult,2021,1131104000.00,1204743000.00,73639000.00,36,53,17,52,Permit issues,Ongoing
PRJ-040,Delta Water Treatment Plant Phase 3,Water Treatment Plant,Delta,Horizon Builders,AECOM Nigeria,2021,609482000.00,736213000.00,126731000.00,32,42,10,86,Adverse weather,Ongoing
PRJ-041,Rivers Culvert Phase 1,Culvert,Rivers,BuildRight Nig Ltd,Julius Berger Consult,2023,1344515000.00,1776853000.00,432338000.00,17,27,10,60,Design changes,Ongoing
PRJ-042,Rivers Housing Estate Phase 2,Housing Estate,Rivers,Tetrazzini & Sons Ltd,AECOM Nigeria,2020,1968675000.00,2592281000.00,623606000.00,16,21,5,54,Community protest,Ongoing
PRJ-043,Kano Hospital Phase 2,Hospital,Kano,Fedex Const. Co.,AECOM Nigeria,2019,1567920000.00,1695399000.00,127479000.00,45,60,15,61,Material price escalation,Ongoing
PRJ-044,Kaduna Drainage System Phase 3,Drainage System,Kaduna,Horizon Builders,Scott Wilson,2023,668731000.00,938330000.00,269599000.00,40,57,17,94,Community protest,Ongoing
PRJ-045,Rivers Culvert Phase 3,Culvert,Rivers,Greenfield Eng Ltd,CCECC Consult,2021,1515965000.00,2204088000.00,688123000.00,29,45,16,96,Equipment breakdown,Ongoing
PRJ-046,Oyo Housing Estate Phase 2,Housing Estate,Oyo,Greenfield Eng Ltd,AECOM Nigeria,2021,507262000.00,584117000.00,76855000.00,46,49,3,49,Adverse weather,Delayed
PRJ-047,Kano Drainage System Phase 3,Drainage System,Kano,BuildRight Nig Ltd,CCECC Consult,2022,695219000.00,854810000.00,159591000.00,15,17,2,83,Community protest,Ongoing
PRJ-048, Edo Road Construction Phase 3,Road Construction, Edo,Grandeur Works,CCECC Consult,2019,1888346000.00,2132259000.00,243913000.00,36,58,22,83,Labour dispute,Ongoing
PRJ-049, Edo Retaining Wall Phase 2,Retaining Wall, Edo,Apex Infra Ltd,CCECC Consult,2020,582224000.00,722764000.00,140540000.00,36,44,8,81,Contractor default,Ongoing
PRJ-050, Edo Drainage System Phase 1,Drainage System, Edo,Horizon Builders,AECOM Nigeria,2022,1204191000.00,1623008000.00,418817000.00,17,25,8,47,Equipment breakdown,Delayed
